Имя,Изображения,Цена,Производитель,Артикул,Короткое описание,Категории,Исходный адрес
Блюдце ASSA13,http://posuda-mix.ru/upload/shop_1/1/4/5/item_14579/shop_items_catalog_image14579.png,157,RAK (Арабские Эмираты),ASSA13,"
13 см, к чашке ASCU09 
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Access,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1332/14579/
Блюдце к бульонницам ASSA15,http://posuda-mix.ru/upload/shop_1/1/4/5/item_14563/shop_items_catalog_image14563.png,163,RAK (Арабские Эмираты),ASSA15,"
15,5 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Access,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1332/14563/
Бульонница ASCS30,http://posuda-mix.ru/upload/shop_1/1/4/5/item_14561/shop_items_catalog_image14561.png,455,RAK (Арабские Эмираты),ASCS30,"
30cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Access,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1332/14561/
Бульонница без ручек ASCS01,http://posuda-mix.ru/upload/shop_1/1/4/5/item_14562/shop_items_catalog_image14562.png,264,RAK (Арабские Эмираты),ASCS01,"
30 cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Access,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1332/14562/
Ваза ASFV01,http://posuda-mix.ru/upload/shop_1/1/4/5/item_14578/shop_items_catalog_image14578.png,581,RAK (Арабские Эмираты),ASFV01,,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Access,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1332/14578/
Емкость для масла ASBR07,http://posuda-mix.ru/upload/shop_1/1/4/5/item_14577/shop_items_catalog_image14577.png,221,RAK (Арабские Эмираты),ASBR07,"
d=7 см
8cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Access,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1332/14577/
Кофейник ASCP70,http://posuda-mix.ru/upload/shop_1/1/4/5/item_14565/shop_items_catalog_image14565.png,1 388,RAK (Арабские Эмираты),ASCP70,"
70 cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Access,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1332/14565/
Кофейник ASCP35,http://posuda-mix.ru/upload/shop_1/1/4/5/item_14566/shop_items_catalog_image14565.png,867,RAK (Арабские Эмираты),ASCP35,"
35 cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Access,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1332/14566/
Кружка ASMG45,http://posuda-mix.ru/upload/shop_1/1/4/5/item_14585/shop_items_catalog_image14583.png,524,RAK (Арабские Эмираты),ASMG45,"
45 cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Access,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1332/14585/
Кружка ASMG36,http://posuda-mix.ru/upload/shop_1/1/4/5/item_14584/shop_items_catalog_image14583.png,426,RAK (Арабские Эмираты),ASMG36,"
36 cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Access,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1332/14584/
Кружка ASMG30,http://posuda-mix.ru/upload/shop_1/1/4/5/item_14583/shop_items_catalog_image14583.png,415,RAK (Арабские Эмираты),ASMG30,"
30cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Access,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1332/14583/
Крышка к сахарнице ASSU23LD,http://posuda-mix.ru/upload/shop_1/1/5/5/item_15519/shop_items_catalog_image15519.jpg,146,RAK (Арабские Эмираты),ASSU23LD,,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Access,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1332/15519/
Крышка к чайнику арт.ASTP45 ASTP45LD,http://posuda-mix.ru/upload/shop_1/1/5/5/item_15520/shop_items_catalog_image15520.jpg,178,RAK (Арабские Эмираты),ASTP45LD,,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Access,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1332/15520/
Крышка к чайнику арт.ASTP80 ASTP80LD,http://posuda-mix.ru/upload/shop_1/1/5/5/item_15521/shop_items_catalog_image15521.jpg,283,RAK (Арабские Эмираты),ASTP80LD,,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Access,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1332/15521/
Кувшин ASJG100,http://posuda-mix.ru/upload/shop_1/1/4/5/item_14573/shop_items_catalog_image14573.png,1 091,RAK (Арабские Эмираты),ASJG100,"
100 cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Access,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1332/14573/
Молочник ASCR15,http://posuda-mix.ru/upload/shop_1/1/4/5/item_14571/shop_items_catalog_image14569.jpg,350,RAK (Арабские Эмираты),ASCR15,"
15 cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Access,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1332/14571/
Молочник ASCR25,http://posuda-mix.ru/upload/shop_1/1/4/5/item_14570/shop_items_catalog_image14569.jpg,404,RAK (Арабские Эмираты),ASCR25,"
25 cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Access,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1332/14570/
Молочник ASCR40,http://posuda-mix.ru/upload/shop_1/1/4/5/item_14569/shop_items_catalog_image14569.jpg,576,RAK (Арабские Эмираты),ASCR40,"
40 cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Access,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1332/14569/
Пепельница ASAT01,http://posuda-mix.ru/upload/shop_1/1/4/5/item_14588/shop_items_catalog_image14588.png,498,RAK (Арабские Эмираты),ASAT01,"
12 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Access,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1332/14588/
Перечница ASPS01,http://posuda-mix.ru/upload/shop_1/1/4/5/item_14587/shop_items_catalog_image14587.png,389,RAK (Арабские Эмираты),ASPS01,,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Access,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1332/14587/
Салатник ASBW21,http://posuda-mix.ru/upload/shop_1/1/4/5/item_14557/shop_items_catalog_image14557.png,719,RAK (Арабские Эмираты),ASBW21,"
21 см
130cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Access,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1332/14557/
Салатник ASBW18,http://posuda-mix.ru/upload/shop_1/1/4/5/item_14558/shop_items_catalog_image14557.png,541,RAK (Арабские Эмираты),ASBW18,"
18 см75 cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Access,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1332/14558/
Салатник ASBW12,http://posuda-mix.ru/upload/shop_1/1/4/5/item_14560/shop_items_catalog_image14557.png,278,RAK (Арабские Эмираты),ASBW12,"
12 см33 cl

",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Access,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1332/14560/
