Имя,Изображения,Цена,Производитель,Артикул,Короткое описание,Категории,Исходный адрес
"Блюдо квадратное с 4-мя квадратными углублениями ""Tarragon"" SPSP4B",http://rakporcelain.com/products/productbig_73_1428229930SPSP4B.png,3 162,RAK (Арабские Эмираты),SPSP4B,"
30x30 см.
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  AllSpice,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_616/item_328/
"Блюдо квадратное с 4-мя круглыми углублениями ""Curry"" SPSP4I",http://rakporcelain.com/products/productbig_75_1428230139SPSP4I.png,2 612,RAK (Арабские Эмираты),SPSP4I,"
30x30 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  AllSpice,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_616/item_329/
"Блюдо круглое ""Cilanto"" SPCP29",http://rakporcelain.com/products/productbig_92_1428236187SPCP29.png,1 564,RAK (Арабские Эмираты),SPCP29,"
29 см.
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  AllSpice,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_616/item_296/
"Блюдо прямоугольное с 3-мя круглыми углублениями ""Paprika"" SPRP3I",http://rakporcelain.com/products/productbig_76_1428230284SPSP3I.png,3 162,RAK (Арабские Эмираты),SPRP3I,"
36x12,5 см.
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  AllSpice,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_616/item_316/
"Блюдо прямоугольное с 3-мя углублениями под кофейную чашку ""Juniper"" SPRP3BW",http://rakporcelain.com/products/productbig_78_1428230537SPRP3BW.png,2 230,RAK (Арабские Эмираты),SPRP3BW,"
30x11 см 
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  AllSpice,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_616/item_314/
Блюдце круглое для чашки 27cl арт.SPCU27 SPSA14,http://rakporcelain.com/products/productbig_115_1428240253SPSA14.png,729,RAK (Арабские Эмираты),SPSA14,"
d=14 см.
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  AllSpice,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_616/15524/
"Ёмкость ""Basil"" SPCU07",http://rakporcelain.com/products/productbig_81_1428231364SPCU07.png,265,RAK (Арабские Эмираты),SPCU07,"
70 мл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  AllSpice,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_616/item_297/
"Ёмкость ""Basil"" SPCU09",http://rakporcelain.com/products/productbig_81_1428231364SPCU07.png,303,RAK (Арабские Эмираты),SPCU09,"
90 мл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  AllSpice,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_616/item_298/
"Ёмкость ""Chili "" SPCU18",http://rakporcelain.com/products/productbig_111_1428239861SPCU18.png,341,RAK (Арабские Эмираты),SPCU18,"
180 мл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  AllSpice,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_616/item_299/
"Крышка для салатника ""Chives"" SPLD01",http://rakporcelain.com/products/productbig_69_1427802871SPLD01.png,992,RAK (Арабские Эмираты),SPLD01,"
13 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  AllSpice,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_616/item_306/
