Имя,Изображения,Цена,Производитель,Артикул,Короткое описание,Категории,Исходный адрес
"ANBW14 Салатник круглый d=14см., (0.48л)48 cl., ANBW14",http://posuda-mix.ru/upload/shop_1/9/7/2/item_9723/shop_items_catalog_image9723.jpg,525,RAK (Арабские Эмираты),ANBW14,,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Anna,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/anna/9723/
"ANBW16 Салатник круглый d=16см., (1л)100 cl. ANBW16",http://posuda-mix.ru/upload/shop_1/9/7/2/item_9724/shop_items_catalog_image9724.jpg,658,RAK (Арабские Эмираты),ANBW16,,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Anna,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/anna/9724/
"ANBW18 Салатник круглый d=18см., (1.4л)140 cl. ANBW18",http://posuda-mix.ru/upload/shop_1/9/7/2/item_9725/shop_items_catalog_image9725.jpg,794,RAK (Арабские Эмираты),ANBW18,,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Anna,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/anna/9725/
"ANBW21 Салатник круглый d=21см., (2.3л)230 cl. ANBW21",http://posuda-mix.ru/upload/shop_1/9/7/2/item_9726/shop_items_catalog_image9726.jpg,1 047,RAK (Арабские Эмираты),ANBW21,,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Anna,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/anna/9726/
"ANCH01 Подсвечник, d=16см ANCH01",http://posuda-mix.ru/upload/shop_1/9/7/2/item_9727/shop_items_catalog_image9727.jpg,794,RAK (Арабские Эмираты),ANCH01,,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Anna,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/anna/9727/
ANCP100 Кофейник (1.0л)100cl. ANCP100,http://posuda-mix.ru/upload/shop_1/9/7/2/item_9728/shop_items_catalog_image9728.jpg,2 044,RAK (Арабские Эмираты),ANCP100,,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Anna,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/anna/9728/
ANCP35 Кофейник (0.35л)35cl. ANCP35,http://posuda-mix.ru/upload/shop_1/9/7/2/item_9729/shop_items_catalog_image9729.jpg,1 310,RAK (Арабские Эмираты),ANCP35,,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Anna,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/anna/9729/
ANCR15 Молочник (0.15л)15cl. ANCR15,http://posuda-mix.ru/upload/shop_1/9/7/3/item_9730/shop_items_catalog_image9730.jpg,525,RAK (Арабские Эмираты),ANCR15,,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Anna,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/anna/9730/
ANCR25 Молочник (0.25л)25cl. ANCR25,http://posuda-mix.ru/upload/shop_1/9/7/3/item_9731/shop_items_catalog_image9731.jpg,588,RAK (Арабские Эмираты),ANCR25,,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Anna,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/anna/9731/
ANCS36 Бульонница круглая 36 cl. ANCS36,http://posuda-mix.ru/upload/shop_1/9/7/3/item_9732/shop_items_catalog_image9732.jpg,778,RAK (Арабские Эмираты),ANCS36,,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Anna,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/anna/9732/
