Имя,Изображения,Цена,Производитель,Артикул,Короткое описание,Категории,Исходный адрес
Чайник с крышкой BATP40,http://rakporcelain.com/products/productbig_487_1430914773BATP80.png,1 101,RAK (Арабские Эмираты),BATP40,"
40 сл (4)
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Banquet,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/Banquet/item_437/
Чашка BACU18,http://rakporcelain.com/products/productbig_477_1430911530BACU28.png,323,RAK (Арабские Эмираты),BACU18,"
18 сл (12)
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Banquet,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/Banquet/item_360/
Чашка BACU20,http://rakporcelain.com/products/productbig_477_1430911530BACU28.png,381,RAK (Арабские Эмираты),BACU20,"
20 сл (12)
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Banquet,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/Banquet/item_361/
Чашка BACU23,http://rakporcelain.com/products/productbig_477_1430911530BACU28.png,403,RAK (Арабские Эмираты),BACU23,"
23 сл (12)
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Banquet,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/Banquet/item_362/
Чашка BACU28,http://rakporcelain.com/products/productbig_477_1430911530BACU28.png,531,RAK (Арабские Эмираты),BACU28,"
28 сл (12)
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Banquet,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/Banquet/item_363/
Чашка для кофе Ристретто 7 cl BANC07,http://rakporcelain.com/products/productbig_476_1430826621BANC07.png,272,RAK (Арабские Эмираты),BANC07,,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Banquet,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/Banquet/16586/
Чашка кофейная BACU09,http://rakporcelain.com/products/productbig_477_1430911530BACU28.png,243,RAK (Арабские Эмираты),BACU09,"
9 сл (12)
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Banquet,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/Banquet/item_395/
Чашка кофейная BANC09,http://rakporcelain.com/products/productbig_475_1430826501BANC15.png,266,RAK (Арабские Эмираты),BANC09,"
90 мл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Banquet,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/Banquet/11375/
Чашка чайная BANC15,http://rakporcelain.com/products/productbig_475_1430826501BANC15.png,339,RAK (Арабские Эмираты),BANC15,"
15 сл (12)
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Banquet,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/Banquet/item_396/
Чашка чайная BANC22,http://rakporcelain.com/products/productbig_472_1430813381BANC28.png,454,RAK (Арабские Эмираты),BANC22,"
22 сл (12)
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Banquet,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/Banquet/item_397/
Чашка чайная BANC28,http://rakporcelain.com/products/productbig_472_1430813381BANC28.png,522,RAK (Арабские Эмираты),BANC28,"
28 сл (12)
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Banquet,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/Banquet/item_398/
