Имя,Изображения,Цена,Производитель,Артикул,Короткое описание,Категории,Исходный адрес
Салатник круг. FDBI14M,http://rakporcelain.com/products/productbig_215_1429691768FDBI14M.png,916,RAK (Арабские Эмираты),FDBI14M,"
14см., 45 cl. 
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Fine Dine,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/Fine-Dine/FDBI14M/
Блюдо овальное FDOP30,http://rakporcelain.com/products/productbig_200_1429688289FDOP30.png,1 415,RAK (Арабские Эмираты),FDOP30,"
							Размеры: 30 × 8 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Fine Dine,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/Fine-Dine/item_527/
Блюдо овальное FDOP34,http://rakporcelain.com/products/productbig_204_1429689050FDOP34.png,1 636,RAK (Арабские Эмираты),FDOP34,"
34 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Fine Dine,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/Fine-Dine/item_528/
Блюдо овальное FDOP36,http://rakporcelain.com/products/productbig_203_1429688966FDOP36.png,1 703,RAK (Арабские Эмираты),FDOP36,"
36 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Fine Dine,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/Fine-Dine/item_529/
Блюдо овальное FDOP40,http://rakporcelain.com/products/productbig_202_1429688855FDOP40.png,2 037,RAK (Арабские Эмираты),FDOP40,"
40 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Fine Dine,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/Fine-Dine/item_530/
Блюдо овальное FDOP46,http://rakporcelain.com/products/productbig_201_1429688736FDOP46.png,2 369,RAK (Арабские Эмираты),FDOP46,"
46 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Fine Dine,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/Fine-Dine/item_531/
Блюдце FDSA13,http://rakporcelain.com/products/productbig_225_1429706167FDSA13.png,319,RAK (Арабские Эмираты),FDSA13,"
13 см (к чашке 90 мл)
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Fine Dine,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/Fine-Dine/item_533/
Блюдце FDSA15,http://rakporcelain.com/products/productbig_223_1429693837FDSA15.png,392,RAK (Арабские Эмираты),FDSA15,"
15 см (к чашкам 200 и 250 мл) 
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Fine Dine,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/Fine-Dine/item_534/
Блюдце FDSA17,http://rakporcelain.com/products/productbig_220_1429692925FDSA17.png,471,RAK (Арабские Эмираты),FDSA17,"
17 см (к чашке 300 мл)
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Fine Dine,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/Fine-Dine/item_535/
Блюдце к бульоннице FDSA19,http://rakporcelain.com/products/productbig_218_1429692680FDSA19.png,471,RAK (Арабские Эмираты),FDSA19,"
19 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Fine Dine,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/Fine-Dine/item_536/
