Имя,Изображения,Цена,Производитель,Артикул,Короткое описание,Категории,Исходный адрес
"Блюдце для чашки 20cl,15cl,9cl GISA14",http://rakporcelain.com/products/productbig_175_1428395894GISA17.png,323,RAK (Арабские Эмираты),GISA14,"
							Размеры: 14 × 14 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Giro,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1301/13584/
"Блюдце для чашки 39cl,29cl,23cl GISA17",http://rakporcelain.com/products/productbig_175_1428395894GISA17.png,429,RAK (Арабские Эмираты),GISA17,"
							Размеры: 17 × 17 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Giro,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1301/13583/
"Блюдце овальное для чашки 29cl,23cl,15cl,9cl GISA29",http://rakporcelain.com/products/productbig_177_1428396103GISA29.png,1 139,RAK (Арабские Эмираты),GISA29,"
							Размеры: 29 × 16 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Giro,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1301/13585/
Емкость для пакетиков сахара и чая GISH01,http://rakporcelain.com/products/productbig_186_1428397145GISH01.png,928,RAK (Арабские Эмираты),GISH01,"
d=11.5 h=5см.  10cl.
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Giro,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1301/13594/
Кофейник GICP35,http://rakporcelain.com/products/productbig_178_1438771729GICP35.png,1 501,RAK (Арабские Эмираты),GICP35,"
35 cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Giro,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1301/13586/
Кувшин для напитков GIJU100,http://rakporcelain.com/products/productbig_180_1428396611GIJU100.png,1 594,RAK (Арабские Эмираты),GIJU100,"
100 cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Giro,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1301/13588/
Кувшин для напитков GIJU50,http://rakporcelain.com/products/productbig_180_1428396611GIJU100.png,1 194,RAK (Арабские Эмираты),GIJU50,"
50 cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Giro,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1301/13589/
Кувшин для напитков GIJU25,http://rakporcelain.com/products/productbig_180_1428396611GIJU100.png,589,RAK (Арабские Эмираты),GIJU25,"
25 cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Giro,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1301/13590/
Молочник GIJU15,http://rakporcelain.com/products/productbig_183_1428396883GIJU15.png,454,RAK (Арабские Эмираты),GIJU15,"
15 cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Giro,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1301/13591/
Молочник GIJU09,http://rakporcelain.com/products/productbig_180_1428396611GIJU100.png,419,RAK (Арабские Эмираты),GIJU09,"
9 cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Giro,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1301/13592/
Салатник овальный GIOB26,http://rakporcelain.com/products/productbig_155_1428390837GIOB26.png,1 251,RAK (Арабские Эмираты),GIOB26,"
							Размеры: 26 × 20 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Giro,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1301/13573/
Салатник овальный GIOB23,http://rakporcelain.com/products/productbig_155_1428390837GIOB26.png,1 062,RAK (Арабские Эмираты),GIOB23,"
							Размеры: 23 × 18 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Giro,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1301/13574/
Салатник овальный GIOB20,http://rakporcelain.com/products/productbig_155_1428390837GIOB26.png,947,RAK (Арабские Эмираты),GIOB20,"
							Размеры: 20 × 16 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Giro,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1301/13575/
Салатник овальный GIOB16,http://rakporcelain.com/products/productbig_155_1428390837GIOB26.png,758,RAK (Арабские Эмираты),GIOB16,"
							Размеры: 16 × 12 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Giro,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1301/13576/
Сахарница GISU01,http://rakporcelain.com/products/productbig_185_1428397406GISU01.png,1 062,RAK (Арабские Эмираты),GISU01,"
25 cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Giro,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1301/13593/
Тарелка круглая глубокая GIDP24,http://rakporcelain.com/products/productbig_168_1438772987GIDP24.png,1 139,RAK (Арабские Эмираты),GIDP24,"
							Размеры: 24 × 24 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Giro,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1301/13572/
Тарелка круглая плоская GIFP30,http://rakporcelain.com/products/productbig_162_1438776696GIFP30.png,1 517,RAK (Арабские Эмираты),GIFP30,"
30 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Giro,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1301/13555/
Тарелка круглая плоская GIFP27,http://rakporcelain.com/products/productbig_162_1438776696GIFP30.png,1 328,RAK (Арабские Эмираты),GIFP27,"
27 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Giro,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1301/13556/
Тарелка круглая плоская GIFP21,http://rakporcelain.com/products/productbig_162_1438776696GIFP30.png,1 043,RAK (Арабские Эмираты),GIFP21,"
21 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Giro,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1301/13557/
Тарелка круглая плоская GIFP18,http://rakporcelain.com/products/productbig_162_1438776696GIFP30.png,912,RAK (Арабские Эмираты),GIFP18,"
18 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Giro,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1301/13558/
Тарелка круглая плоская GIFP15,http://rakporcelain.com/products/productbig_162_1438776696GIFP30.png,797,RAK (Арабские Эмираты),GIFP15,"
15 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Giro,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1301/13559/
