Имя,Изображения,Цена,Производитель,Артикул,Короткое описание,Категории,Исходный адрес
Блюдо овальное D1BAOP22,http://posuda-mix.ru/upload/shop_1/2/1/1/item_2111/shop_items_catalog_image2111.jpg,782,RAK (Арабские Эмираты),D1BAOP22,Размер: 22 см,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Leon,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_637/item_818/
Блюдо овальное D1BAOP32,http://posuda-mix.ru/upload/shop_1/2/1/1/item_2113/shop_items_catalog_image2113.jpg,1 171,RAK (Арабские Эмираты),D1BAOP32,Размер: 32 см,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Leon,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_637/item_820/
Блюдо овальное D1BAOP38,http://posuda-mix.ru/upload/shop_1/9/6/3/item_9636/shop_items_catalog_image9636.jpg,1 335,RAK (Арабские Эмираты),D1BAOP38,Размер: 38 см,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Leon,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_637/9636/
Блюдце D1BASA13,http://posuda-mix.ru/upload/shop_1/2/1/1/item_2116/shop_items_catalog_image2116.jpg,239,RAK (Арабские Эмираты),D1BASA13,Размер: 13 см,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Leon,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_637/item_823/
Блюдце D1BASA15,http://posuda-mix.ru/upload/shop_1/9/6/3/item_9637/shop_items_catalog_image9637.jpg,270,RAK (Арабские Эмираты),D1BASA15,Размер: 15 см,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Leon,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_637/9637/
Блюдце к бульоннице D1BAST01,http://posuda-mix.ru/upload/shop_1/2/1/2/item_2121/shop_items_catalog_image2121.jpg,360,RAK (Арабские Эмираты),D1BAST01,Размер: 17 см,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Leon,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_637/item_828/
Ваза D1BAFV01,http://posuda-mix.ru/upload/shop_1/2/1/0/item_2107/shop_items_catalog_image2107.jpg,574,RAK (Арабские Эмираты),D1BAFV01,Размер: 12 см,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Leon,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_637/item_814/
Емкость D1BABR01,http://posuda-mix.ru/upload/shop_1/2/0/9/item_2092/shop_items_catalog_image2092.jpg,305,RAK (Арабские Эмираты),D1BABR01,Размер: 9 см,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Leon,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_637/item_799/
Ёмкость для чая/сахара D1BASH01,http://posuda-mix.ru/upload/shop_1/2/1/1/item_2118/shop_items_catalog_image2118.jpg,537,RAK (Арабские Эмираты),D1BASH01,"
								Размеры: 9 × 3 × 2 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Leon,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_637/item_825/
Кокотница круг. BABR01D1,http://posuda-mix.ru/upload/shop_1/1/5/9/item_15919/item_15919.jpg,400,RAK (Арабские Эмираты),BABR01D1,"
7 см., 6 cl.
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Leon,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_637/BABR01D1/
Кольцо для салфеток D1BANR01,http://posuda-mix.ru/upload/shop_1/2/1/1/item_2110/shop_items_catalog_image2110.jpg,591,RAK (Арабские Эмираты),D1BANR01,,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Leon,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_637/item_817/
Кофейник BACP70D1,http://posuda-mix.ru/upload/shop_1/1/5/9/item_15923/item_15923.jpg,2 051,RAK (Арабские Эмираты),BACP70D1,"
 70cl. 
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Leon,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_637/BACP70D1/
Кофейник BACP35D1,http://posuda-mix.ru/upload/shop_1/1/5/9/item_15922/item_15922.jpg,1 219,RAK (Арабские Эмираты),BACP35D1,"
 35cl. 
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Leon,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_637/BACP35D1/
Кофейник с крышкой D1BACP70,http://posuda-mix.ru/upload/shop_1/2/0/9/item_2095/shop_items_catalog_image2095.jpg,1 566,RAK (Арабские Эмираты),D1BACP70,"
700 мл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Leon,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_637/item_802/
Крышка к кофейнику BACP35D1 BACPLD1D1,http://posuda-mix.ru/upload/shop_1/1/5/9/item_15924/item_15924.jpg,227,RAK (Арабские Эмираты),BACPLD1D1,,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Leon,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_637/BACPLD1D1/
Крышка к кофейнику BACP70D1 BACPLD2D1,http://posuda-mix.ru/upload/shop_1/1/5/9/item_15925/item_15925.jpg,566,RAK (Арабские Эмираты),BACPLD2D1,,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Leon,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_637/BACPLD2D1/
Молочник D1BACR15,http://posuda-mix.ru/upload/shop_1/2/0/9/item_2097/shop_items_catalog_image2097.jpg,434,RAK (Арабские Эмираты),D1BACR15,"
150 мл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Leon,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_637/item_804/
Молочник D1BACR25,http://posuda-mix.ru/upload/shop_1/9/6/3/item_9638/shop_items_catalog_image9638.jpg,503,RAK (Арабские Эмираты),D1BACR25,"
250 мл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Leon,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_637/9638/
Молочник D1BACR35,http://posuda-mix.ru/upload/shop_1/9/6/3/item_9639/shop_items_catalog_image9639.jpg,648,RAK (Арабские Эмираты),D1BACR35,"
350 мл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Leon,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_637/9639/
Пепельница BAAT01D1,http://posuda-mix.ru/upload/shop_1/1/5/9/item_15918/item_15918.jpg,714,RAK (Арабские Эмираты),BAAT01D1,"
 11см. 
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Leon,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_637/BAAT01D1/
Пепельница D1BAAT01,http://posuda-mix.ru/upload/shop_1/2/0/9/item_2091/shop_items_catalog_image2091.jpg,544,RAK (Арабские Эмираты),D1BAAT01,Размер: 11 см,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Leon,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_637/item_798/
Перечница D1BAPS01,http://posuda-mix.ru/upload/shop_1/2/1/1/item_2115/shop_items_catalog_image2115.jpg,456,RAK (Арабские Эмираты),D1BAPS01,,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Leon,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_637/item_822/
Подсалфетник D1BANH01,http://posuda-mix.ru/upload/shop_1/2/1/0/item_2109/shop_items_catalog_image2109.jpg,916,RAK (Арабские Эмираты),D1BANH01,"
-12
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Leon,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_637/item_816/
