Имя,Изображения,Цена,Производитель,Артикул,Короткое описание,Категории,Исходный адрес
"Клоша для Тарелки LRDP30, фарфор LRCV27",http://rakporcelain.com/products/productbig_641_1431938620LRCV27-LRDP30.png,1 731,RAK (Арабские Эмираты),LRCV27,,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Lyra,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_649/10543/
Блюдце LRSA12,http://rakporcelain.com/products/productbig_646_1431939349LRSA17.png,319,RAK (Арабские Эмираты),LRSA12,"
12 см (для чашки 9 сл)
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Lyra,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_649/item_1070/
Блюдце LRSA15,http://rakporcelain.com/products/productbig_646_1431939349LRSA17.png,392,RAK (Арабские Эмираты),LRSA15,"
15 см (для чашек 18/22 сл)
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Lyra,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_649/10013/
Блюдце LRSA17,http://rakporcelain.com/products/productbig_646_1431939349LRSA17.png,471,RAK (Арабские Эмираты),LRSA17,"
17 см (для бульонницы 27 сл)
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Lyra,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_649/10014/
Ваза LRFV01,http://rakporcelain.com/products/productbig_656_1431947458LRFV01.png,771,RAK (Арабские Эмираты),LRFV01,,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Lyra,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_649/item_1067/
"Клоша для Тарелки LRDP23, фарфор LRCV20",http://rakporcelain.com/products/productbig_641_1431938620LRCV27-LRDP30.png,1 191,RAK (Арабские Эмираты),LRCV20,,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Lyra,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_649/10541/
"Клоша для Тарелки LRDP26, фарфор LRCV23",http://rakporcelain.com/products/productbig_641_1431938620LRCV27-LRDP30.png,1 412,RAK (Арабские Эмираты),LRCV23,,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Lyra,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_649/10542/
Кофейник LRCP35,http://rakporcelain.com/products/productbig_651_1431946937LRCP35.png,1 636,RAK (Арабские Эмираты),LRCP35,"
350 мл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Lyra,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_649/item_1055/
Крышка к кофейнику LRCPLD,http://posuda-mix.ru/upload/shop_1/2/3/4/item_2349/shop_items_catalog_image2349.jpg,326,RAK (Арабские Эмираты),LRCPLD,,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Lyra,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_649/item_1056/
Крышка к сахарнице LRSULD,http://posuda-mix.ru/upload/shop_1/2/3/6/item_2369/shop_items_catalog_image2369.jpg,218,RAK (Арабские Эмираты),LRSULD,,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Lyra,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_649/item_1076/
Крышка к чайнику LRTPLD,http://posuda-mix.ru/upload/shop_1/2/3/7/item_2371/shop_items_catalog_image2371.jpg,326,RAK (Арабские Эмираты),LRTPLD,"
40 сл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Lyra,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_649/item_1078/
