Имя,Изображения,Цена,Производитель,Артикул,Короткое описание,Категории,Исходный адрес
Ложка для презентации блюд MRSP01,http://rakporcelain.com/products/productbig_139_1428328108MRSP01.png,339,RAK (Арабские Эмираты),MRSP01,"
							Размеры: 12 × 5 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Marea,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1303/13603/
Салатник MRSB18,http://rakporcelain.com/products/productbig_144_1428329198MRSB18.png,493,RAK (Арабские Эмираты),MRSB18,"
d=12.7h=4см., 18 cl.
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Marea,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1303/13608/
Салатник MRBW30,http://rakporcelain.com/products/productbig_145_1428329311MRBW30.png,570,RAK (Арабские Эмираты),MRBW30,"
d=12 h=6см., 30 cl.
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Marea,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1303/13609/
Салатник MRBW13,http://rakporcelain.com/products/productbig_146_1428329377MRBW13.png,339,RAK (Арабские Эмираты),MRBW13,"
d=10 h=4см., 13 cl.
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Marea,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1303/13610/
Стаканчик «Goblet» MRTB07,http://rakporcelain.com/products/productbig_143_1428329121MRTB07.png,419,RAK (Арабские Эмираты),MRTB07,"
7 cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Marea,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1303/13606/
Стаканчик «Goblet» MRTB09,http://rakporcelain.com/products/productbig_142_1428328846MRTB09.png,608,RAK (Арабские Эмираты),MRTB09,"
9 cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Marea,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1303/13607/
Тарелка квадратная «Astro» MRSP25,http://rakporcelain.com/products/productbig_133_1428325978MRSP25.png,1 859,RAK (Арабские Эмираты),MRSP25,"
							Размеры: 25 × 25 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Marea,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1303/13597/
Тарелка круглая глубокая «Switch» MRDP31,http://rakporcelain.com/products/productbig_140_1428328393MRDP31.png,1 309,RAK (Арабские Эмираты),MRDP31,"
							Размеры: 31 × 31 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Marea,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1303/13604/
Тарелка круглая глубокая «Switch» MRDP27,http://rakporcelain.com/products/productbig_141_1428328663MRDP27.png,1 174,RAK (Арабские Эмираты),MRDP27,"
							Размеры: 27 × 27 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Marea,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1303/13605/
Тарелка круглая плоская «Circus» MRFP30,http://rakporcelain.com/products/productbig_134_1428326182MRFP30.png,1 216,RAK (Арабские Эмираты),MRFP30,"
							Размеры: 30 × 30 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Marea,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1303/13598/
Тарелка круглая плоская «Circus» MRFP24,http://rakporcelain.com/products/productbig_135_1428326384MRFP24.png,816,RAK (Арабские Эмираты),MRFP24,"
							Размеры: 24 × 24 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Marea,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1303/13599/
Тарелка круглая плоская «Circus» MRFP18,http://rakporcelain.com/products/productbig_136_1428326445MRFP18.png,758,RAK (Арабские Эмираты),MRFP18,"
							Размеры: 18 × 18 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Marea,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1303/13600/
Тарелка круглая плоская «Toptapa» MRGP30,http://rakporcelain.com/products/productbig_138_1428326639MRGP30.png,1 706,RAK (Арабские Эмираты),MRGP30,"
							Размеры: 30 × 30 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Marea,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1303/13602/
Тарелка овальная плоская MROP18,http://rakporcelain.com/products/productbig_137_1428326557MROP18.png,758,RAK (Арабские Эмираты),MROP18,"
							Размеры: 18 × 11 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Marea,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1303/13601/
Тарелка прямоугольная «Astro» MRRP35,http://rakporcelain.com/products/productbig_131_1428325635MRRP25.png,2 275,RAK (Арабские Эмираты),MRRP35,"
							Размеры: 35 × 25 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Marea,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1303/13595/
Тарелка прямоугольная «Astro» MRRP25,http://rakporcelain.com/products/productbig_132_1428325862MRRP25.png,1 635,RAK (Арабские Эмираты),MRRP25,"
							Размеры: 25 × 20 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Marea,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1303/13596/
