Имя,Изображения,Цена,Производитель,Артикул,Короткое описание,Категории,Исходный адрес
Блюдо ACDS01,http://rakporcelain.com/products/productbig_686_1432032192ACDS01.png,1 594,RAK (Арабские Эмираты),ACDS01,"
							Размеры: 35 × 19 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/item_834/
Блюдо прямоугольное OPCD17,http://rakporcelain.com/products/productbig_688_1432036130OPCD26.png,880,RAK (Арабские Эмираты),OPCD17,"
								Размеры: 17 × 13 × 4 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/item_853/
Блюдо прямоугольное OPCD20,http://rakporcelain.com/products/productbig_688_1432036130OPCD26.png,1 117,RAK (Арабские Эмираты),OPCD20,"
								Размеры: 20 × 16 × 4 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/9663/
Блюдо прямоугольное ACRD10,http://rakporcelain.com/products/productbig_751_1432126814ACRD10.png,454,RAK (Арабские Эмираты),ACRD10,"
18х11,5 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/item_863/
Блюдо прямоугольное OPCD26,http://rakporcelain.com/products/productbig_688_1432036130OPCD26.png,1 510,RAK (Арабские Эмираты),OPCD26,"
								Размеры: 26 × 16 × 4 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/9664/
Блюдо прямоугольное OPCD18,http://rakporcelain.com/products/productbig_688_1432036130OPCD26.png,893,RAK (Арабские Эмираты),OPCD18,"
18х10.5см., 33 cl.
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/OPCD18/
Блюдо прямоугольное OPCD16,http://rakporcelain.com/products/productbig_688_1432036130OPCD26.png,1 360,RAK (Арабские Эмираты),OPCD16,"
 16х16h=4см.
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/OPCD16/
Блюдо прямоугольное OPCD32,http://rakporcelain.com/products/productbig_688_1432036130OPCD26.png,2 816,RAK (Арабские Эмираты),OPCD32,"
32x16h=4см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/OPCD32/
Блюдо с шестью секциями OPOS20,http://rakporcelain.com/products/productbig_709_1432111314OPOS20.png,790,RAK (Арабские Эмираты),OPOS20,"
28х20х2 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/item_864/
Блюдце квадратное к чашке 30cl OPSA14,http://posuda-mix.ru/upload/shop_1/2/1/6/item_2162/shop_items_catalog_image2162.jpg,486,RAK (Арабские Эмираты),OPSA14,"
							Размеры: 14 × 14 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/item_869/
Ёмкость OPSD01,http://rakporcelain.com/products/productbig_738_1432124252OPSD01.png,381,RAK (Арабские Эмираты),OPSD01,"
								Размеры: 5 × 5 × 6 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/item_872/
Емкость OPSD02,http://rakporcelain.com/products/productbig_738_1432124252OPSD01.png,342,RAK (Арабские Эмираты),OPSD02,"
								Размеры: 5 × 5 × 5 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/9665/
Емкость глубокая овальная MNDB50,http://rakporcelain.com/products/productbig_704_1432110272MNDB116.png,605,RAK (Арабские Эмираты),MNDB50,"
 20х12 h=7см., 60 cl. 
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/MNDB50/
Емкость с крышкой овальная OPHB85,http://rakporcelain.com/products/productbig_714_1432119718OPHB150.png,2 058,RAK (Арабские Эмираты),OPHB85,"
 14.8х16.5, h=11см., 85 cl. 
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/OPHB85/
Емкость с крышкой овальная OPHB50,http://rakporcelain.com/products/productbig_714_1432119718OPHB150.png,1 226,RAK (Арабские Эмираты),OPHB50,"
14.5х15.5  h=9см., 50 cl. 
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/OPHB50/
Емкость с крышкой овальная OPHB89,http://rakporcelain.com/products/productbig_714_1432119718OPHB150.png,2 512,RAK (Арабские Эмираты),OPHB89,"
19х19.5, h=10см., 90 cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/OPHB89/
Емкость с крышкой овальная OPHB150,http://rakporcelain.com/products/productbig_714_1432119718OPHB150.png,2 710,RAK (Арабские Эмираты),OPHB150,"
17х18.5, h=13см., 150 cl.
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/OPHB150/
Ёмкость с крышкой OPBW15,http://rakporcelain.com/products/productbig_715_1432119889OPBW15.png,1 232,RAK (Арабские Эмираты),OPBW15,"
							Размеры: 15 × 15 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/item_852/
Кокотница ACRG09,http://rakporcelain.com/products/productbig_750_1432126714ACRG10.png,499,RAK (Арабские Эмираты),ACRG09,"
								Размеры: 9 × 9 × 5 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/item_837/
Кокотница ACRG10,http://rakporcelain.com/products/productbig_750_1432126714ACRG10.png,621,RAK (Арабские Эмираты),ACRG10,"
								Размеры: 10 × 10 × 7 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/9666/
Кроншель круглый OPRD16,http://rakporcelain.com/products/productbig_712_1432111638OPRD16.png,938,RAK (Арабские Эмираты),OPRD16,,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/item_862/
Кроншель овальный OPOD20,http://posuda-mix.ru/upload/shop_1/2/1/5/item_2152/shop_items_catalog_image2152.jpg,790,RAK (Арабские Эмираты),OPOD20,"
							Размеры: 10 × 11 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/item_859/
Кроншель овальный OPOD24,http://posuda-mix.ru/upload/shop_1/9/6/6/item_9667/shop_items_catalog_image9667.jpg,938,RAK (Арабские Эмираты),OPOD24,"
							Размеры: 24 × 13 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/9667/
Кроншель овальный OPOD25,http://posuda-mix.ru/upload/shop_1/9/6/6/item_9668/shop_items_catalog_image9668.jpg,1 107,RAK (Арабские Эмираты),OPOD25,"
							Размеры: 25 × 14 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/9668/
Кроншель овальный OPOD30,http://posuda-mix.ru/upload/shop_1/1/5/9/item_15960/shop_items_catalog_image9668.jpg,1 504,RAK (Арабские Эмираты),OPOD30,"
78 cl,  30х16 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/OPOD30/
Кружка MNMP01,http://rakporcelain.com/products/productbig_740_1432125528MNMP01.png,381,RAK (Арабские Эмираты),MNMP01,"
23 сл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/item_854/
Кружка OPSMG09,http://rakporcelain.com/products/productbig_724_1432120925OPSMG33.png,317,RAK (Арабские Эмираты),OPSMG09,"
90 мл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/item_873/
Кружка OPSMG24,http://rakporcelain.com/products/productbig_724_1432120925OPSMG33.png,429,RAK (Арабские Эмираты),OPSMG24,"
240 мл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/9670/
Кружка OPSMG33,http://rakporcelain.com/products/productbig_724_1432120925OPSMG33.png,493,RAK (Арабские Эмираты),OPSMG33,"
330 мл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/9671/
