Имя,Изображения,Цена,Производитель,Артикул,Короткое описание,Категории,Исходный адрес
Блюдце для арт.NBCU34 и NBCU26 NBSA18,http://posuda-mix.ru/upload/shop_1/1/0/1/item_10180/shop_items_catalog_image10180.jpg,483,RAK (Арабские Эмираты),NBSA18,"
18х15см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Nabur,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1174/10180/
Блюдце к арт.NBCU09 NBSA15,http://posuda-mix.ru/upload/shop_1/1/0/1/item_10182/shop_items_catalog_image10182.jpg,403,RAK (Арабские Эмираты),NBSA15,"
15х12.5см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Nabur,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1174/10182/
Емкость для соуса NBDB08,http://posuda-mix.ru/upload/shop_1/1/0/1/item_10168/shop_items_catalog_image10168.jpg,246,RAK (Арабские Эмираты),NBDB08,"
							Размеры: 8 × 7 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Nabur,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1174/10168/
Кофейник NBCP50,http://posuda-mix.ru/upload/shop_1/1/0/1/item_10184/shop_items_catalog_image10184.jpg,1 942,RAK (Арабские Эмираты),NBCP50,"
500 мл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Nabur,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1174/10184/
Кружка NBCU34,http://posuda-mix.ru/upload/shop_1/1/0/1/item_10178/shop_items_catalog_image10178.jpg,752,RAK (Арабские Эмираты),NBCU34,"
340 мл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Nabur,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1174/10178/
Салатник NBBW23,http://posuda-mix.ru/upload/shop_1/1/0/1/item_10169/shop_items_catalog_image10169.jpg,1 565,RAK (Арабские Эмираты),NBBW23,"
							Размеры: 23 × 20 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Nabur,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1174/10169/
Салатник NBBW19,http://posuda-mix.ru/upload/shop_1/1/0/1/item_10170/shop_items_catalog_image10170.jpg,574,RAK (Арабские Эмираты),NBBW19,"
19х15.8см
600 мл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Nabur,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1174/10170/
Салатник NBBW15,http://posuda-mix.ru/upload/shop_1/1/0/1/item_10171/shop_items_catalog_image10171.jpg,880,RAK (Арабские Эмираты),NBBW15,"
15х12.8см
450 мл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Nabur,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1174/10171/
Салатник NBSB23,http://posuda-mix.ru/upload/shop_1/1/0/1/item_10172/shop_items_catalog_image10172.jpg,1 050,RAK (Арабские Эмираты),NBSB23,"
23х19.5см
770 мл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Nabur,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1174/10172/
Салатник NBSB19,http://posuda-mix.ru/upload/shop_1/1/0/1/item_10173/shop_items_catalog_image10173.jpg,752,RAK (Арабские Эмираты),NBSB19,"
19х15.8см
610 мл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Nabur,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1174/10173/
