Имя,Изображения,Цена,Производитель,Артикул,Короткое описание,Категории,Исходный адрес
Блюдо овальное BAOP32D7,http://rakporcelain.com/products/productbig_849_1432470701BAOP38D7.png,976,RAK (Арабские Эмираты),BAOP32D7,"
320 мл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Rondo,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_646/item_1006/
Блюдо овальное BAOP38D7,http://rakporcelain.com/products/productbig_849_1432470701BAOP38D7.png,1 150,RAK (Арабские Эмираты),BAOP38D7,"
380 мл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Rondo,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_646/9965/
Блюдце BASA13D7,http://posuda-mix.ru/upload/shop_1/2/3/0/item_2301/shop_items_catalog_image2301.png,177,RAK (Арабские Эмираты),BASA13D7,"
130 мл (для чашек 9/15 сл)
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Rondo,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_646/item_1008/
Блюдце BASA15D7,http://posuda-mix.ru/upload/shop_1/9/9/6/item_9966/shop_items_catalog_image9966.png,187,RAK (Арабские Эмираты),BASA15D7,"
150 мл (для чашек 18/20/23 сл)
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Rondo,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_646/9966/
Кофейник с крышкой BACP35D7,http://rakporcelain.com/products/productbig_855_1432472042BACP70D7.png,1 087,RAK (Арабские Эмираты),BACP35D7,"
350 мл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Rondo,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_646/item_993/
Кофейник с крышкой BACP70D7,http://rakporcelain.com/products/productbig_855_1432472042BACP70D7.png,1 737,RAK (Арабские Эмираты),BACP70D7,"
700 мл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Rondo,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_646/9952/
Молочник BACR15D7,http://rakporcelain.com/products/productbig_857_1432472352BACR35D7.png,448,RAK (Арабские Эмираты),BACR15D7,"
250 мл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Rondo,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_646/item_996/
Молочник BACR35D7,http://rakporcelain.com/products/productbig_857_1432472352BACR35D7.png,705,RAK (Арабские Эмираты),BACR35D7,"
350 мл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Rondo,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_646/9953/
Пепельница BAAT01D7,http://rakporcelain.com/products/productbig_866_1432473144BAAT01D7.png,629,RAK (Арабские Эмираты),BAAT01D7,"
11 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Rondo,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_646/item_991/
Перечница BAPS01D7,http://rakporcelain.com/products/productbig_860_1432472596BAPS01D7.png,490,RAK (Арабские Эмираты),BAPS01D7,"
-6
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Rondo,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_646/item_1007/
Салатник BASB16D7,http://rakporcelain.com/products/productbig_853_1432471232BASB21D7.png,401,RAK (Арабские Эмираты),BASB16D7,"
60 сл/16 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Rondo,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_646/item_1009/
Салатник BASP16D7,http://rakporcelain.com/products/productbig_852_1432471090BASP20D7.png,319,RAK (Арабские Эмираты),BASP16D7,"
67 сл/16 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Rondo,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_646/9967/
Салатник BASB18D7,http://rakporcelain.com/products/productbig_853_1432471232BASB21D7.png,708,RAK (Арабские Эмираты),BASB18D7,"
72 сл/18 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Rondo,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_646/9968/
Салатник BASB21D7,http://rakporcelain.com/products/productbig_853_1432471232BASB21D7.png,897,RAK (Арабские Эмираты),BASB21D7,"
118 сл/21 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Rondo,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_646/9969/
Сахарница с крышкой BASU27D7,http://rakporcelain.com/products/productbig_858_1432472452BASU27D7.png,878,RAK (Арабские Эмираты),BASU27D7,"
27 сл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Rondo,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_646/item_1013/
Сливочник,,878,RAK (Арабские Эмираты),BASU27D7,"
27 сл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Rondo,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_646/item_995/
Солонка BASS01D7,http://rakporcelain.com/products/productbig_859_1432472523BASS01D7.png,490,RAK (Арабские Эмираты),BASS01D7,Размер: 5 см,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Rondo,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_646/item_1011/
Тарелка глубокая BADP23D7,http://rakporcelain.com/products/productbig_848_1432470612BADP30D7.png,379,RAK (Арабские Эмираты),BADP23D7,"
230 мл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Rondo,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_646/item_1001/
