Имя,Изображения,Цена,Производитель,Артикул,Короткое описание,Категории,Исходный адрес
Блюдце SKSA12,http://rakporcelain.com/products/productbig_796_1432210699SKSA16.png,186,RAK (Арабские Эмираты),SKSA12,"
12 см (для чашки 9 сл) (12)
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Ska,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_618/item_573/
Блюдце SKSA14,http://rakporcelain.com/products/productbig_796_1432210699SKSA16.png,211,RAK (Арабские Эмираты),SKSA14,"
14 см (для чашек 15/23 сл) (12)
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Ska,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_618/item_574/
Блюдце SKSA16,http://rakporcelain.com/products/productbig_796_1432210699SKSA16.png,227,RAK (Арабские Эмираты),SKSA16,"
16 см (для чашки 30 сл) 
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Ska,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_618/item_579/
Бокал SKMG22,http://rakporcelain.com/products/productbig_798_1432211232SKMG33.png,342,RAK (Арабские Эмираты),SKMG22,"
22 сл 
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Ska,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_618/item_562/
Бульонница с ручками SKCS30,http://rakporcelain.com/products/productbig_794_1432209967skcs30.png,406,RAK (Арабские Эмираты),SKCS30,"
30 сл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Ska,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_618/item_553/
Ёмкость для сахара SKSH23,http://rakporcelain.com/products/productbig_803_1432212976SKSH23.png,806,RAK (Арабские Эмираты),SKSH23,"
23 сл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Ska,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_618/item_591/
Кофейник с крышкой SKCP35,http://rakporcelain.com/products/productbig_800_1432212163SKCP70.png,1 078,RAK (Арабские Эмираты),SKCP35,"
35 сл 
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Ska,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_618/item_549/
Кофейник с крышкой SKCP70,http://rakporcelain.com/products/productbig_800_1432212163SKCP70.png,1 622,RAK (Арабские Эмираты),SKCP70,"
70 сл (4)
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Ska,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_618/item_550/
Кружка SKMG33,http://rakporcelain.com/products/productbig_798_1432211232SKMG33.png,413,RAK (Арабские Эмираты),SKMG33,"
33 сл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Ska,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_618/item_563/
Кружка SKSM30,http://rakporcelain.com/products/productbig_797_1432210839SKSM30.png,432,RAK (Арабские Эмираты),SKSM30,"
30 сл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Ska,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_618/item_592/
