Имя,Изображения,Цена,Производитель,Артикул,Короткое описание,Категории,Исходный адрес
Блюдо овальное GDRT42,http://rakporcelain.com/products/productbig_552_1431257444GDRT42.png,3 430,RAK (Арабские Эмираты),GDRT42,"
42 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  WhiteGold,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_824/item_4744/
Блюдце GDSA12,http://rakporcelain.com/products/productbig_561_1431258727GDSA15.png,423,RAK (Арабские Эмираты),GDSA12,"
12 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  WhiteGold,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_824/item_4756/
Блюдце GDSA15,http://rakporcelain.com/products/productbig_561_1431258727GDSA15.png,496,RAK (Арабские Эмираты),GDSA15,"
15 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  WhiteGold,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_824/10058/
Ёмкость GDCU09M,http://rakporcelain.com/products/productbig_560_1431258649GDCU21M.png,673,RAK (Арабские Эмираты),GDCU09M,"
9 сл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  WhiteGold,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_824/item_4755/
Емкость GDCU21M,http://rakporcelain.com/products/productbig_560_1431258649GDCU21M.png,780,RAK (Арабские Эмираты),GDCU21M,"
21 сл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  WhiteGold,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_824/10057/
Кофейник GDCP160,http://rakporcelain.com/products/productbig_562_1431258856GDCP160.png,4 198,RAK (Арабские Эмираты),GDCP160,"
1600 мл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  WhiteGold,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_824/item_4750/
Молочник GDCR25,http://rakporcelain.com/products/productbig_564_1431259091GDCR25.png,881,RAK (Арабские Эмираты),GDCR25,"
250 мл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  WhiteGold,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_824/item_4752/
Сахарница GDSU25,http://rakporcelain.com/products/productbig_565_1431259301GDSU25.png,1 109,RAK (Арабские Эмираты),GDSU25,"
250 мл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  WhiteGold,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_824/item_4749/
Супница GDSB340,http://rakporcelain.com/products/productbig_558_1431258164GDSB340.png,4 574,RAK (Арабские Эмираты),GDSB340,"
3400 мл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  WhiteGold,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_824/item_4748/
Тарелка глубокая GDDP23,http://rakporcelain.com/products/productbig_556_1431257852GDDP29.png,1 147,RAK (Арабские Эмираты),GDDP23,"
23 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  WhiteGold,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_824/item_4746/
