Имя,Изображения,Цена,Производитель,Артикул,Короткое описание,Категории,Исходный адрес
Блюдце KRCLSA02,http://posuda-mix.ru/upload/shop_1/1/6/1/item_16119/item_16119.jpg,674,RAK (Арабские Эмираты),KRCLSA02,"
17 cm
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  Karbon,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1394/16119/
Блюдце KRCLSA13,http://posuda-mix.ru/upload/shop_1/1/6/1/item_16121/item_16119.jpg,465,RAK (Арабские Эмираты),KRCLSA13,"
13 cm
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  Karbon,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1394/16121/
Салатник KRNNRB16,http://posuda-mix.ru/upload/shop_1/1/6/1/item_16113/item_16113.jpg,823,RAK (Арабские Эмираты),KRNNRB16,"
16 cm - 6.5 cm - 58
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  Karbon,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1394/16113/
Салатник KRNNBW12,http://posuda-mix.ru/upload/shop_1/1/6/1/item_16114/item_16113.jpg,699,RAK (Арабские Эмираты),KRNNBW12,"
12 cm - 5.5 cm - 27
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  Karbon,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1394/16114/
Салатник KRNNBW10,http://posuda-mix.ru/upload/shop_1/1/6/1/item_16115/item_16113.jpg,611,RAK (Арабские Эмираты),KRNNBW10,"
10 cm - 5 cm - 16 cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  Karbon,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1394/16115/
Салатник KRNNBW09,http://posuda-mix.ru/upload/shop_1/1/6/1/item_16116/item_16113.jpg,579,RAK (Арабские Эмираты),KRNNBW09,"
9 cm - 4 cm - 11 cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  Karbon,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1394/16116/
Тарелка глубокая KRNNDP28,http://posuda-mix.ru/upload/shop_1/1/6/1/item_16108/item_16108.jpg,1 901,RAK (Арабские Эмираты),KRNNDP28,"
28 cm
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  Karbon,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1394/16108/
Тарелка глубокая KRBUBC26,http://posuda-mix.ru/upload/shop_1/1/6/1/item_16109/item_16109.jpg,1 714,RAK (Арабские Эмираты),KRBUBC26,"
26 cm - 120 cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  Karbon,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1394/16109/
Тарелка глубокая KRNNDP23,http://posuda-mix.ru/upload/shop_1/1/6/1/item_16110/item_16110.jpg,702,RAK (Арабские Эмираты),KRNNDP23,"
23 cm - 69 cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  Karbon,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1394/16110/
Тарелка квадратная KRAUSP33,http://posuda-mix.ru/upload/shop_1/1/6/0/item_16093/item_16093.jpg,3 841,RAK (Арабские Эмираты),KRAUSP33,"
33 cm
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  Karbon,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1394/16093/
