Имя,Изображения,Цена,Производитель,Артикул,Короткое описание,Категории,Исходный адрес
Стаканчик NFSPCU09DR,http://posuda-mix.ru/upload/shop_1/1/4/0/item_14058/shop_items_catalog_image14058.png,440,RAK (Арабские Эмираты),NFSPCU09DR,"
9cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  NEOFUSION > Magma,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1315/1316/14058/
Стаканчик квадратный NFOPSD01DR,http://posuda-mix.ru/upload/shop_1/1/4/0/item_14060/shop_items_catalog_image14060.png,551,RAK (Арабские Эмираты),NFOPSD01DR,"
h=5см 9cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  NEOFUSION > Magma,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1315/1316/14060/
Стаканчик квадратный NFOPSD02DR,http://posuda-mix.ru/upload/shop_1/1/4/0/item_14061/shop_items_catalog_image14061.png,496,RAK (Арабские Эмираты),NFOPSD02DR,"
5х4,5см 6cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  NEOFUSION > Magma,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1315/1316/14061/
Стаканчик квадратный с носиком NFOPSD03DR,http://posuda-mix.ru/upload/shop_1/1/4/0/item_14062/shop_items_catalog_image14062.png,551,RAK (Арабские Эмираты),NFOPSD03DR,"
5х6см 8cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  NEOFUSION > Magma,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1315/1316/14062/
Тарелка прямоугольная NFMZMR11DR,http://posuda-mix.ru/upload/shop_1/1/4/0/item_14066/shop_items_catalog_image14066.png,608,RAK (Арабские Эмираты),NFMZMR11DR,"
11х5,5 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  NEOFUSION > Magma,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1315/1316/14066/
Тарелка квадратная NFMZMS08DR,http://posuda-mix.ru/upload/shop_1/1/4/0/item_14067/shop_items_catalog_image14067.png,579,RAK (Арабские Эмираты),NFMZMS08DR,"
8х7,5 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  NEOFUSION > Magma,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1315/1316/14067/
Тарелка мелкая без борта NFSPCP29DR,http://posuda-mix.ru/upload/shop_1/1/4/0/item_14000/shop_items_catalog_image14000.png,2 318,RAK (Арабские Эмираты),NFSPCP29DR,"
29 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  NEOFUSION > Magma,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1315/1316/14000/
Тарелка мелкая без борта NFNNPR15DR,http://posuda-mix.ru/upload/shop_1/1/4/0/item_14041/shop_items_catalog_image14041.png,353,RAK (Арабские Эмираты),NFNNPR15DR,"
15 см 
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  NEOFUSION > Magma,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1315/1316/14041/
Тарелка мелкая без борта NFNNPR18DR,http://posuda-mix.ru/upload/shop_1/1/4/0/item_14040/shop_items_catalog_image14040.png,392,RAK (Арабские Эмираты),NFNNPR18DR,"
18 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  NEOFUSION > Magma,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1315/1316/14040/
Тарелка мелкая без борта NFNNPR21DR,http://posuda-mix.ru/upload/shop_1/1/4/0/item_14039/shop_items_catalog_image14039.png,440,RAK (Арабские Эмираты),NFNNPR21DR,"
21 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  NEOFUSION > Magma,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1315/1316/14039/
