Имя,Изображения,Цена,Производитель,Артикул,Короткое описание,Категории,Исходный адрес
Стаканчик NFSPCU09GY,http://posuda-mix.ru/upload/shop_1/1/4/1/item_14192/shop_items_catalog_image14192.png,440,RAK (Арабские Эмираты),NFSPCU09GY,"
9cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  NEOFUSION > Stone,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1315/1320/14192/
Стаканчик квадратный NFOPSD01GY,http://posuda-mix.ru/upload/shop_1/1/4/1/item_14194/shop_items_catalog_image14194.png,551,RAK (Арабские Эмираты),NFOPSD01GY,"
h=5см 9cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  NEOFUSION > Stone,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1315/1320/14194/
Стаканчик квадратный NFOPSD02GY,http://posuda-mix.ru/upload/shop_1/1/4/1/item_14195/shop_items_catalog_image14195.png,496,RAK (Арабские Эмираты),NFOPSD02GY,"
5х4,5см 6cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  NEOFUSION > Stone,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1315/1320/14195/
Стаканчик квадратный с носиком NFOPSD03GY,http://posuda-mix.ru/upload/shop_1/1/4/1/item_14196/shop_items_catalog_image14196.png,551,RAK (Арабские Эмираты),NFOPSD03GY,"
5х6см 8cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  NEOFUSION > Stone,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1315/1320/14196/
Тарелка прямоугольная NFMZMR11GY,http://posuda-mix.ru/upload/shop_1/1/4/2/item_14200/shop_items_catalog_image14200.png,608,RAK (Арабские Эмираты),NFMZMR11GY,"
11х5,5 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  NEOFUSION > Stone,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1315/1320/14200/
Тарелка квадратная NFMZMS08GY,http://posuda-mix.ru/upload/shop_1/1/4/2/item_14201/shop_items_catalog_image14201.png,579,RAK (Арабские Эмираты),NFMZMS08GY,"
8х7,5 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  NEOFUSION > Stone,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1315/1320/14201/
Тарелка мелкая без борта NFNNPR15GY,http://posuda-mix.ru/upload/shop_1/1/4/1/item_14175/shop_items_catalog_image14175.png,353,RAK (Арабские Эмираты),NFNNPR15GY,"
15 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  NEOFUSION > Stone,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1315/1320/14175/
Тарелка мелкая без борта NFNNPR18GY,http://posuda-mix.ru/upload/shop_1/1/4/1/item_14174/shop_items_catalog_image14174.png,392,RAK (Арабские Эмираты),NFNNPR18GY,"
18 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  NEOFUSION > Stone,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1315/1320/14174/
Тарелка мелкая без борта NFNNPR21GY,http://posuda-mix.ru/upload/shop_1/1/4/1/item_14173/shop_items_catalog_image14173.png,440,RAK (Арабские Эмираты),NFNNPR21GY,"
21 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  NEOFUSION > Stone,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1315/1320/14173/
Тарелка мелкая без борта NFNNPR24GY,http://posuda-mix.ru/upload/shop_1/1/4/1/item_14172/shop_items_catalog_image14172.png,474,RAK (Арабские Эмираты),NFNNPR24GY,"
24 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  NEOFUSION > Stone,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1315/1320/14172/
