Имя,Изображения,Цена,Производитель,Артикул,Короткое описание,Категории,Исходный адрес
Тарелка круг. корич. глубокая NFCLXD23CB,http://posuda-mix.ru/upload/shop_1/1/5/8/item_15844/shop_items_catalog_image15844.jpg,1 131,RAK (Арабские Эмираты),NFCLXD23CB,"
d=23h=8 см., 32cl. 
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  NEOFUSION MELLOW,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1391/NFCLXD23CB/
Салатник круг. корич. NFNNRB16CB,http://posuda-mix.ru/upload/shop_1/1/5/8/item_15880/shop_items_catalog_image15880.jpg,632,RAK (Арабские Эмираты),NFNNRB16CB,"
d=16 h=6.5см., 58 cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  NEOFUSION MELLOW,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1391/NFNNRB16CB/
Салатник круг. сиреневая NFNNRB16OL,http://posuda-mix.ru/upload/shop_1/1/5/8/item_15881/shop_items_catalog_image15881.jpg,632,RAK (Арабские Эмираты),NFNNRB16OL,"
 d=16 h=6.5см., 58 cl.
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  NEOFUSION MELLOW,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1391/NFNNRB16OL/
Салатник круг. фиолет. NFNNRB16PP,http://posuda-mix.ru/upload/shop_1/1/5/8/item_15883/shop_items_catalog_image15883.jpg,632,RAK (Арабские Эмираты),NFNNRB16PP,"
 d=16 h=6.5см., 58 cl.
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  NEOFUSION MELLOW,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1391/NFNNRB16PP/
Салатник круг.серый NFNNRB16PG,http://posuda-mix.ru/upload/shop_1/1/5/8/item_15882/shop_items_catalog_image15882.jpg,632,RAK (Арабские Эмираты),NFNNRB16PG,"
d=16 h=6.5см., 58 cl.
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  NEOFUSION MELLOW,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1391/NFNNRB16PG/
"Тарелка ""Coupe"" круг.корич. глубокая NFNNDP23CB",http://posuda-mix.ru/upload/shop_1/1/5/8/item_15848/shop_items_catalog_image15848.jpg,553,RAK (Арабские Эмираты),NFNNDP23CB,"
d=23h=4 см., 69cl.
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  NEOFUSION MELLOW,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1391/NFNNDP23CB/
"Тарелка ""Coupe"" круг.корич. глубокая NFBUBC26CB",http://posuda-mix.ru/upload/shop_1/1/5/8/item_15840/shop_items_catalog_image15840.jpg,1 282,RAK (Арабские Эмираты),NFBUBC26CB,"
d=26 h=5 см., 120 cl. 
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  NEOFUSION MELLOW,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1391/NFBUBC26CB/
"Тарелка ""Coupe"" круг.серая глубокая NFNNDP23PG",http://posuda-mix.ru/upload/shop_1/1/5/8/item_15850/shop_items_catalog_image15850.jpg,553,RAK (Арабские Эмираты),NFNNDP23PG,"
 d=23 h=4 см., 69cl.
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  NEOFUSION MELLOW,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1391/NFNNDP23PG/
"Тарелка ""Coupe"" круг.серая глубокая NFBUBC26PG",http://posuda-mix.ru/upload/shop_1/1/5/8/item_15842/shop_items_catalog_image15842.jpg,1 282,RAK (Арабские Эмираты),NFBUBC26PG,"
d=26 h=5 см., 120 cl.
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  NEOFUSION MELLOW,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1391/NFBUBC26PG/
"Тарелка ""Coupe"" круг.сиреневая глубокая NFNNDP23OL",http://posuda-mix.ru/upload/shop_1/1/5/8/item_15849/shop_items_catalog_image15849.jpg,553,RAK (Арабские Эмираты),NFNNDP23OL,"
 d=23 h=4 см., 69cl.
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором >  NEOFUSION MELLOW,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1391/NFNNDP23OL/
