Имя,Изображения,Цена,Производитель,Артикул,Короткое описание,Категории,Исходный адрес
 Тарелка круг. красно-корич. 					 WDBUBC26TB,http://posuda-mix.ru/upload/shop_1/1/5/7/item_15725/shop_items_catalog_image15725.png,2 152,RAK (Арабские Эмираты),WDBUBC26TB,"d=26 см., 120 cl. ",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором > Woodart ,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1389/WDBUBC26TB/
Блюдце круг.  зелен. 		 WDCLSA15MG,http://posuda-mix.ru/upload/shop_1/1/5/7/item_15747/shop_items_catalog_image15747.png,699,RAK (Арабские Эмираты),WDCLSA15MG,"d=15 см., для арт.WDCLCU23/WDCLCU20 ",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором > Woodart ,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1389/WDCLSA15MG/
Блюдце круг.  зелен.  WDCLSA13MG,http://posuda-mix.ru/upload/shop_1/1/5/7/item_15743/shop_items_catalog_image15743.png,586,RAK (Арабские Эмираты),WDCLSA13MG,"d=13 см., для арт.WDCLCU09 ",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором > Woodart ,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1389/WDCLSA13MG/
Блюдце круг.  зелен.  WDCLSA17MG,http://posuda-mix.ru/upload/shop_1/1/5/7/item_15751/shop_items_catalog_image15751.png,842,RAK (Арабские Эмираты),WDCLSA17MG,"d=17  см., для арт.WDCLCU28",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором > Woodart ,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1389/WDCLSA17MG/
Блюдце круг. красно-корич. 					 WDCLSA15TB,http://posuda-mix.ru/upload/shop_1/1/5/7/item_15749/shop_items_catalog_image15749.jpg,700,RAK (Арабские Эмираты),WDCLSA15TB,"d=15 см., для арт.WDCLCU23/WDCLCU20",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором > Woodart ,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1389/WDCLSA15TB/
Блюдце круг. красно-корич.  WDCLSA13TB,http://posuda-mix.ru/upload/shop_1/1/5/7/item_15745/shop_items_catalog_image15745.jpg,586,RAK (Арабские Эмираты),WDCLSA13TB,"d=13 см., для арт.WDCLCU09",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором > Woodart ,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1389/WDCLSA13TB/
Блюдце круг. красно-корич. WDCLSA17TB,http://posuda-mix.ru/upload/shop_1/1/5/7/item_15753/shop_items_catalog_image15753.jpg,842,RAK (Арабские Эмираты),WDCLSA17TB," d=17  см., для арт.WDCLCU28 ",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором > Woodart ,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1389/WDCLSA17TB/
Блюдце круг. темно-корич.	 WDCLSA15OB,http://posuda-mix.ru/upload/shop_1/1/5/7/item_15748/shop_items_catalog_image15748.png,700,RAK (Арабские Эмираты),WDCLSA15OB,"d=15 см., для арт.WDCLCU23/WDCLCU20 ",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором > Woodart ,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1389/WDCLSA15OB/
Блюдце круг. темно-корич. 	 WDCLSA13OB,http://posuda-mix.ru/upload/shop_1/1/5/7/item_15744/shop_items_catalog_image15744.png,586,RAK (Арабские Эмираты),WDCLSA13OB,"d=13 см., для арт.WDCLCU09 ",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором > Woodart ,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1389/WDCLSA13OB/
Блюдце круг. темно-корич.  WDCLSA17OB,http://posuda-mix.ru/upload/shop_1/1/5/7/item_15752/shop_items_catalog_image15752.png,842,RAK (Арабские Эмираты),WDCLSA17OB,"d=17  см., для арт.WDCLCU28",Фарфоровая посуда > RAK Porcelain (ОАЭ) > С декором > Woodart ,http://posuda-mix.ru/shop/farfor/RAK/S_dekorom/1389/WDCLSA17OB/
